Job Title,Job ID,Job Link
"Software Engineer with AI Tooling Expertise, Skyvera (Remote) - $200,000/year USD",3727366938,https://www.linkedin.com/jobs/view/3727366938/?eBP=CwEAAAGK8SYXsZRtbdVAOjfTNDxtNGP8wlY2LvyIiZzM9W01xuQnTdAZEu0ppvxo47ugtrxDoMUYNcp87i-nWiSptilyTmu4GauJTUkh2nkLucQn4Ejl65QbTmafTJjjBmJylbDJtkjHIGKI5jsvY51ziI2NSXcuUC66yPIlk1EViNEJgkxxZRYMyIJENombv4cauGyPCjU7j6NCxGIT5NAjYX99wtWE4A6KiFhQRsnRjQvdJ9OzrOp8OhvsgGRJHPmGVmtYCzGeBJg6B3yETQRc7EbMNWUsE2gqFv1eNYs2y1_07Yc1c3WxGi2khJA8-RJvRx8DxJlgJ4MnWttHHLhcFYlJE3j4VnIcTTnh7xoEbnYqAd49gKen64Z6cXT4ZPFS_anI1_dk&refId=XFT0XH7sXu1Y9CCFBidGZw%3D%3D&trackingId=SZwiDpjkouQLYDoxo1Y3HA%3D%3D&trk=flagship3_search_srp_jobs
Manager VAS & Digital Services,3731352259,https://www.linkedin.com/jobs/view/3731352259/?eBP=CwEAAAGK8SYXsfCldVkeOUgRHi5wctLfHdXFL1Ylpd6YRzYXjnb4CubdIpNvvLBcaN5en-AM0GdiuHCliJHZDtZrLDJn2WSiT8ThjY2qP3ci748dolmM3zZ8__AiTSvWOqq06b6mjVgV_zQsP8MhKg2Ibw4QYroEBX8ExrHteAfQtijIvRbS-hoq6gEyDMT4aV0WjPW8mb7J2IcfwkQOF2sD9vxBR67LyMYyq4bBTQeovYTY470FIY0Ku3w-MQfHV111lEnnUQwrRosWi98Thsm2u2p--grmLI84yET2_oKqg6ooRQ8p4kE1CIB5W05794VzGI1h0fyNzUSOLDrxGAjgR0MjVAFplRC__3DvrE9FNHeedI8EaObBJYC-s4SCFQcRlP2a8SC1BxQ&refId=XFT0XH7sXu1Y9CCFBidGZw%3D%3D&trackingId=gFoxzgv7AyVnn%2BNdm%2FgNKw%3D%3D&trk=flagship3_search_srp_jobs
"Senior C++ Software Engineer, Trilogy (Remote) - $200,000/year USD",3727366981,https://www.linkedin.com/jobs/view/3727366981/?eBP=CwEAAAGK8SYXsXUcz9LV-pF0NumSof-pIOYxRB9G4Wh2rKyLT1NRPUzEXIvFr2e1msKGNq9F0S9OA4p0rqBmELV9OzE3DD8kCZ6XgaRV7p48hE_xRbS2MEvxt6jNhgZWhU7lhQyWIrpdDY4BmSXPpmssa1l24yuJC4d1QlRoMaDUDd6X8-a_jk9HQZn5wz-IOpvXh3FF-CzXkoU0x96BWXSdKehPXwrta-XJZLW5mGr2LKfjw5qIrieqZZBHZXrL8rFZOez2PiF4zP6BiZb_8DMUD_s18TgqORYJeOoVf8zFeMiumfWLqT1spW-0OwcMF0hHqCMV7X8JQ39zKb87HwjqRGjaT2awZZpoeeBjMFvSMaKgmdrd8fBrigJE4igsn9p0bEuhva9e&refId=XFT0XH7sXu1Y9CCFBidGZw%3D%3D&trackingId=NO8%2Fo1jsyfSjveH7r0Q4tw%3D%3D&trk=flagship3_search_srp_jobs
"Senior Mobile Developer, gt.school (Remote) - $100,000/year USD",3727374014,https://www.linkedin.com/jobs/view/3727374014/?eBP=CwEAAAGK8SYXsTuVpmFrF8VHIXQSJGtTqe9tcmScvnc0MMP5M2FvKIQIRUrC0TcXN6AlkYNUaIMDHN3DAfBdFr7CpuSk233FmYrahkgCc5EiC6HWneeOYPPrW3CiPWtJhmc5RLJoN39itb3aj2U0dipvqv98BCPORyM-7pjbrKvKbQ0OCBayWPhkzbbTrvYonvBdLeHpvFriNjQ_fYjTS14xZGD4rT6SZpQ9M1VdKMjqZJQ3M8aevht2LkmcMp3tyVWAyuS3O3t37G73XSyWb2BB6JxI5rTAm0fEsXy3Td2dAygvGtacAfv1BT_9kgJEeWMZZWf7CTaGEzf4fF89ZSJ1cHx64M3npNVgafjvjWdW453-L5jpHGl5PCbU3LaAo6i-YkOUHQ&refId=XFT0XH7sXu1Y9CCFBidGZw%3D%3D&trackingId=qgxSEnltDM764pEnxsyBVw%3D%3D&trk=flagship3_search_srp_jobs
Software Quality Assurance Engineer,3730372912,https://www.linkedin.com/jobs/view/3730372912/?eBP=JOB_SEARCH_ORGANIC&refId=XFT0XH7sXu1Y9CCFBidGZw%3D%3D&trackingId=VXfey%2FfLWPTzdoQRKc6jpQ%3D%3D&trk=flagship3_search_srp_jobs
"Mobile Application Developer (iOS, Swift), gt.school (Remote) - $100,000/year USD",3727367796,https://www.linkedin.com/jobs/view/3727367796/?eBP=CwEAAAGK8SYXseXSAXmvrIYqQsrKWvfvTr_iAA1fMCnvdpXYcKFD8mGe6f5ThUL2t20TEx7rx8exG9WHRD0BrlRSldeC6MkgiF2VytE68Di6AGvzjdpDXbKc5ZvX0QIuSEH-vdcf7a1RbZNQ9LTDPKFx7-u4qKb58BhTWKGUFVbAHo8m7MnF5ukPqVt0r1P_jwNCuvinhUIGw2fh6x0wsfxLCXX2s75vMWVER5jgJlVwYRbzjqbZBQuhMdcH9iH3MqEQPw7NiE8_hpCyj4dS9RLHNztligZxS03vNO39Fxiwz-UMTXZI9nPR4GkpBLZWC20gbVfF_SdNULzSW7peh7_Gphd5nsKbSJIWxvW5zG3K-qoGQNiolNhRsPIXI2R82Rq_1mxx8-QhDmw&refId=XFT0XH7sXu1Y9CCFBidGZw%3D%3D&trackingId=gVU%2BvbpQZHW%2FnaROQ57SRw%3D%3D&trk=flagship3_search_srp_jobs
"Software Engineer (AI-Powered Development), Trilogy (Remote) - $200,000/year USD",3710743254,https://www.linkedin.com/jobs/view/3710743254/?eBP=CwEAAAGK8SYXsZnPNCgCLF3ZV8yy_A-UlOvQACHDXp5zJZc8v7MVH0XEfGLlmq1CG2RQR8iUuTenaTInOMYQThSXOhuspp-DvR_orcQIP5Lfdql1517ICMaID5tuVZYmAHbUJu26pA5z2zWXjxXcfzBFjzR9n2ttr1CJCHdlJBn7gjebdt4mq27G1fH8EI8A1nzP5TDxXS5dXWmJWqXUZ0X9VXUiuP7bVCGNYwD6Z6tvu1Gd_nwywH429Am5Hj1E1UK2zqWSgd0m6NqOnY-pD6sxPYFp3Wex7qObp1N_mFOFu3FXu0bdz-P4labzaVZzJmkShIOYFPT01FfBI3V2erSHH2kmjmtoG8_Q2fE4asFneQJCPzU83bfGp5nC43RKxqhngIbe3gsRfUM&refId=XFT0XH7sXu1Y9CCFBidGZw%3D%3D&trackingId=y4MUBfkFb%2F%2F%2Bw3Pebl4o%2Bw%3D%3D&trk=flagship3_search_srp_jobs
"Artificial Intelligence Engineer, Trilogy (Remote) - $200,000/year USD",3723016589,https://www.linkedin.com/jobs/view/3723016589/?eBP=CwEAAAGK8SYXsduVjtiVn3s-NI4S55y1k6U9fueAt3gh7xgwHafYb6KGrGIvLYgUyPn8ouAiHDk5JO6n4kfCJI1Bnenzf8EOz6ax1D45oHQxZkM8AEst9w6MJddPI-Vr3PJ9AZEFouecqOHBTRInRmRirqWW1Nj-rkFeRiBXhYuKFfy7aTDeDS22nK6Ni_GyGlZvL0ZT0wP3SflBj7-xuJVahzl642qKhhp4m-zAGxyBO-z8lDjhAc70nJTyKlBa8gF1uOP3bkGJIe8y5A_y2jYKAT9zX3t5EXvYCw83HnrWlGfuPviogfQH-DLn-MCgrvjsw3BNqRq__tPD6ZU1ahW-bFAuk3jMNanCi4Gzp0fJmDrdle8Mspc9SGOcqTbqJpCVeGuPScYh&refId=XFT0XH7sXu1Y9CCFBidGZw%3D%3D&trackingId=TvYRNts3BBqv%2FMshFglB4Q%3D%3D&trk=flagship3_search_srp_jobs
"C++ Developer, Trilogy (Remote) - $200,000/year USD",3710743021,https://www.linkedin.com/jobs/view/3710743021/?eBP=CwEAAAGK8SYXsbX6UOC2LMub4ETbIiX2Lo1fNmDx8uI2fFx41FiOL5ysLfQdjI-k3M5K87o7rXgaG83sosppjSU_rODunhWOruxag3CNaheAr6s4mT4uQoVC636s-J44ykpA-xGogpzJccYzj9sDSaBOK_7CkFTTcKDyKmjHuiKJmIhvt396AkTxzFz5SIcwkTugvnf3noD3yovi-kKafeI-c0cet-bZA1zp7OkR6hXLRvn8k4fZOtxDuACTi6yZ2GuZ8XY4nA9fkL4eijp3hgYrXAZ6shX8DC-a6DvqXZEQA5mVbi-xld6ttB4WiptMrQ5-nsyhSE4xWImMmLJKDfpVhIa0I8h7DJ5-D5rTrP10HYSfwmMBDkVY39WhXFCNhTU2DztzfLOX&refId=XFT0XH7sXu1Y9CCFBidGZw%3D%3D&trackingId=UhYmt2z%2Fw4c%2BuGK7oUSsIg%3D%3D&trk=flagship3_search_srp_jobs
"Senior Software Architect, Trilogy (Remote) - $100,000/year USD",3723021010,https://www.linkedin.com/jobs/view/3723021010/?eBP=CwEAAAGK8SYXsb1XMmOeOy_hNaZq0tTrgydavyOODdjEvC-ZBnwZpwYQ-9bRy-ckqEGoKIkfhPiUahB5u2rsqSr7wOYUxU2ZSAnvbIHNps5A_eV-WYohQiNYwB5YXSZCkrk4ycVjGqWz_bMyp32RsQ-_dCH6lnZe5Fo9zOn2KCnG7dK1HTfRaCwy_zhzR99HRmP0joCokuXHlnF0l9AEF1gDxcSOldBcevNE9YZ6OgwE9xccR-m7h0NRHr8hSljc7yAje8yktmsSg5de7tS4bA7VccACInR-8_GMbJ6uaLTOW9IrElcN9sIW5hmcND0LrlOPQrojGnJUiG1BPEKJ-eamAqgRIAwHwjMF0Nt5bniUfQqJ_pcnw_MSrYr6YWEl3yQ6PeI6CS3m&refId=XFT0XH7sXu1Y9CCFBidGZw%3D%3D&trackingId=cahjcPh%2FBvtSXbl64TcbcA%3D%3D&trk=flagship3_search_srp_jobs
