Job Title,Job Link
Lead - Performance,https://www.linkedin.com/jobs/view/3710631172/?eBP=CwEAAAGK0SJ-VM0_VBrHhHePg3DKVB2MvdoImiInlDyS9e_8qFEb0KphhxunJTY8DShfD9fZTTfTnc8O4xhF3zgoiYouxl02gKiKLkVWCjznv1nSb2nx5Pkuh2KIdWhfGnAJjcLTP0Mzy-inwi_4X8P6T4dI_waxEJuFSoP9PvOqj6bdFdhYjVM13i9AAHu8M6lpv1w2PC0T1RWqK_ikTXOF7gqL_CMWQ8n77KqRO9RmBs5PLlDse4AG5ny6HH0JZFLTMxkh_oR8xu990CjBByJkNpcrqMHkkI5m9BBVkI_R5ZDhzPj800H1Zt95qc742s0ZK_L-Mxcp--XTfOhzS39Xkt287Wntgqgll9_Nr4FEUM3ZZORpTBHXcVqgM8kdKaYelJXW-NyrlYweCz8B&refId=f%2B0g%2B0hMjIsNQh0MX%2FC6BQ%3D%3D&trackingId=3AvdjjPBBpvIk7X5dK6STg%3D%3D&trk=flagship3_search_srp_jobs
Computer Vision Engineer,https://www.linkedin.com/jobs/view/3574287743/?eBP=CwEAAAGK0SJ-VJtI1xP1xok5xhEkuFHuiSWaJMX66hkAepplgH1G_1TQF2VRW1A5QpWhfCo90MMxCcMrOAwlTL9kVYAgAeSRijFYwIR1tpm6sr1QgmT35mQy0OoI3pNtP-G0Y3fiquSQSHmxL8hsm55XgfvMBhCAuhwhcFw0sSBo7yOlTIEV-ZkWkMH8yj561X2eefD8A4ZBszjbcc1TPvSNAvE28whR2f_RgBD2EGoAfOEQncsjUwh0re9JjpL1GzxQXng6e_29-Nli4ANLiNzPBDsFdf4t_EnFqzZb7Cg3gq1yZydMuvZq4wPApDEuOsb58T8T8rkL8icS-ec8w8yWqW-9cEezyxd0IsWSQn8vILcg-xiUU_QulEnXpc4lGJNTOxxlI_An0qo5CFOM&refId=f%2B0g%2B0hMjIsNQh0MX%2FC6BQ%3D%3D&trackingId=v2G62HowuEle09ktFSPQPg%3D%3D&trk=flagship3_search_srp_jobs
Migration Technical Lead,https://www.linkedin.com/jobs/view/3714137624/?eBP=CwEAAAGK0SJ-VMT-omsq8Ou3ylb28TYiFLpewYj1_oN6cMJyNcK1kcEjawfpzebPi3QHx-blHKdRa995ZZRDuFPJYHXZFGIPPViA6r8Ie07aEHk46Fjg2IEasmhXTk-qLnkXn7OWn2WFemoeoDomYr5vOKgmVuOb-U_rEKLFrAD65rM9RWJQPJYD4odob3ITzEVUhxJ49pQmdQ7mp5Qf_uCY69pK8wfzLBqghghhzTNoRCLnl0q7xptaJ7nmhUqpsXp1SpqqfR2TO20zIIjs2865agehyBSaSZKJ3JexY5Xc0_FO5yd2qD50ZBwA3f3QsqkFoNLrO50XrOwK3sKFduubHT2NCyOgNGL5x30DT5HJngKSxlYlaGN0PuRYO7eT1VCkXnJ2eYooDq5WhYzU&refId=f%2B0g%2B0hMjIsNQh0MX%2FC6BQ%3D%3D&trackingId=6e6USDTgipsdsmqmPJu%2FtQ%3D%3D&trk=flagship3_search_srp_jobs
"Manager BSS Planning - Infrastructure Development, Charge & Billing",https://www.linkedin.com/jobs/view/3724740649/?eBP=CwEAAAGK0SJ-VDp5kmZeqtPK8J0_dZAW2Qc1k5-94cwvzPFDqUs3udkMjyfzXHqnNkSnIWQZzJIsM_SLuHGIl7ej5Q2fN2GwwHS03kqoJ-UVs_XiDiYD1Jr1Crayei-ybMHm2J0BhpDmtaVjrrgahkOqPmv5y9v7ZMzI57yOoDgjmIb0WKRmE6QTgsrSROovsa7oh-0n4FpiILWOIBmoM9Msbtg0-Z3IyDvm_r8QHCu5nNk5Go8-TTjN45W4WRbQSWSjAXhA5u2sfWOMWqzWmNg6MRVkBBKvKtuTJojNzR6qY-xo8yIhJWxidDqnfUuY3KYQQ3yNKy867h3kuJdJAcu57Nv9bn7cDVSGYpG--xejVy1MPTuiWKAD2m-cQD8ooqLXCAPiy_NpR5ii0Q&refId=f%2B0g%2B0hMjIsNQh0MX%2FC6BQ%3D%3D&trackingId=NobX9tMfl9s4izdgDgFZow%3D%3D&trk=flagship3_search_srp_jobs
Proofreader,https://www.linkedin.com/jobs/view/3728017516/?eBP=JOB_SEARCH_ORGANIC&refId=f%2B0g%2B0hMjIsNQh0MX%2FC6BQ%3D%3D&trackingId=cSIGGQFCJqsnWvq1eo5gDw%3D%3D&trk=flagship3_search_srp_jobs
CRM Planning Officer,https://www.linkedin.com/jobs/view/3722430066/?eBP=CwEAAAGK0SJ-VMqIaURqhZYw1x2KFieMtDHVxPRUVVMR-_jMoi8gWs3TRVQbbY_bmzj1xc-xR8TuD4dVVzcRAXIepdIdAmN0b1lyHRMW1e5wv8PI0K2ztJzqJ9SoK_OW2nuVEfpeXzv2ljpasQA1sZK5WFJuRADltWhmFcqfLesHdekdsXEqdLQHNI5UZGWPvXBkslCq5Js5U5heNf1Ru4eLA-9NIvm5G1jMCEsaBenAukdzX-wQXC3qFan5OZKHsHCdssV_-G2obsD55qK2eWZnFqRNcszj16txcOoSHo_zv7yuXLn3FMOrvWiJx5dmMDyawc0v0H_at1az769a4itvzvF4DJGxR_nqipk-c5D5GjKh6BuD0LOmYUnWlSXhzFIui-0H-VLOoAIgix576fc&refId=f%2B0g%2B0hMjIsNQh0MX%2FC6BQ%3D%3D&trackingId=y6Ca1vsI6oR0tnKMBQFPxw%3D%3D&trk=flagship3_search_srp_jobs
Salesforce Support Associate (Contractual Role),https://www.linkedin.com/jobs/view/3683037192/?eBP=CwEAAAGK0SJ-VJaPv-HhM5V0T7rRqbKcsUlWV9twg-gMif6t75xePubLSmDaYiODUi_nJIqrrGlpJx9riGCYv3mFe5aCHty5f4VdCOaE2wOolZZmSThgTgVR9HFwclVf2EFmsoPMe-7OszkuDevb9Te8bN6Yq4Ak9A49toFga6xOzqYV8XzWr4hOssVIPY1_y_Rb9jnHJs6l_kSNMzGVFDrbNy-FdSj5vfFflKB-nQrO22im742I42Xit8-_krOjJxxW7sOwD7hU7XHTUy3peVTAaYvYBO63qedOUfF6qr-LuvZGaGqM4YYOw-MjlyvmshgVKoXRDZ6LSLiwIUqM1drhIIXh2O2yYK1IBUySR8oddezfRq2KtF3wddIup9FomqNQbPamRkRhpUi_9VjRaCM&refId=f%2B0g%2B0hMjIsNQh0MX%2FC6BQ%3D%3D&trackingId=%2FA439Q7IBHdbEdsI6Ptg3w%3D%3D&trk=flagship3_search_srp_jobs
Finance Business Partner – Commercial,https://www.linkedin.com/jobs/view/3723980675/?eBP=CwEAAAGK0SJ-VJdWofabLlClZdY0m1OTF5kaRNna2vkg9MaCNsNuIMo8xqIy3DbagZlzFy-rM_DICT9fr9zM-Ka9BL665BHj0XJeCsBHcOhDtpdxIjitS-n4v1Vct63jkBW_7zFI3MQlexsPQ5QPjw4z2IF2zO4y6_-6VvJZwjIsEFET-k9behJxPLAJperj_oDHYUzAHsiCaw4pIPakqPlUe8grgyO5ZKdrrsGgfrHRZm2Mkb1YFgVAsTvECb4LfPMjL77RvebQZoevg-bh1lOqlY3bqDvkQMpksH7Z-tl4ZcXb5G-fS6U5-9IjTUC81ZbJALkm7z4VaPvCfEnrFh7zCrHIPeASXbFEAUTtjc4wHUTmVZQi1g_kZyfWq6ECKOXid5nhhDavAwNtjXnV&refId=f%2B0g%2B0hMjIsNQh0MX%2FC6BQ%3D%3D&trackingId=b%2Fxda7etPEQGIvNakDD9Jw%3D%3D&trk=flagship3_search_srp_jobs
"AI Super Engineer, Skyvera (Remote) - $200,000/year USD",https://www.linkedin.com/jobs/view/3723015733/?eBP=CwEAAAGK0SJ-VF7OMxEUjEksxXRDGlwRRjHbjl18BVG3M1qyEX7V40isacmDCmrH-SYkd7KSGiWccjJEJaAmKoykyBKu1509BvWNzvMzHE6x5Qx_foxY_o_fNNUDE1hUr7Y7gbfaIGWd3stuAHOVT2w_-VtiNMoloZdHuo0Q_Kbp1oQivvbW38hed1Rh_isOUEy-pfF1mS7uPHwf6fMuxKNgChop9UrcG3C4auDpr7cmcE0eMCSEuYYrX9zu2LWOqsC_nX52d7x4xVaC6wD5cyj3QLCuel5heDNptD8ijor1T-l9-HXyuX1j2Q8PsR1LHrEQ19vVb6OksZDnks_hnojHcfS4re6WZeQHgRnscfEiScQhRZkAvBYYOTsEarJMfuZQtN4FRly6In91X1W5&refId=f%2B0g%2B0hMjIsNQh0MX%2FC6BQ%3D%3D&trackingId=50Z6optaKD4FHIPlLw8sqg%3D%3D&trk=flagship3_search_srp_jobs
Network Engineer,https://www.linkedin.com/jobs/view/3706521293/?eBP=CwEAAAGK0SJ-VJtayKJEkoZi2AqqeZTnxUAJgM5J7S-B3U8UsDP-60Kqr6dlwOzyqTbNDdqqaca4hUp7pRR-AGU-UCjT9Lf7tTLbnRFKsMwjSjGFTrrN5akFx13nvRbv_MA-OgJ1ZgXx_WrPVkeSpwdRa4RPUBxuzSo0ogt0G9JpxvoCode4uwGnz11GvKUGG2jRhX-48rcjQvBkCnbx2pKfNEqI35_bD76yhZ0yv6u1LJYFWxXrfhQbrd-8skCmJQAVIYQOBFi-fCmDRw1j72s33SrZ4pBbcYG8loKWuQf7gtriAsdEqeNwQlT_JJGkWiCkij0U_2c6RiffRj-b-1Uc9amTddXgsMgkgGcn76M5hDscARuJMSG2D0y1v62RA6RUCIZrw6VSgKA-dnOHmjU&refId=f%2B0g%2B0hMjIsNQh0MX%2FC6BQ%3D%3D&trackingId=LjOWrdoi7lmQAw2CqSyfLQ%3D%3D&trk=flagship3_search_srp_jobs
